X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561493.109158262,2076630.60680129,1.23094,9.50443,0.99053,183.39203,7.632,5.0,0.0,0.0038,18.78040285068023,105.58348895875186,18.78040285068023,105.58348895875186
561496.399143138,2076759.79178574,1.37285,7.52604,0.49417,206.09999,7.18387,6.0,0.0,0.00325,18.78157025309782,105.58352419443314,18.78157025309782,105.58352419443314
561507.064843586,2077386.56488205,1.43237,9.27513,1.19283,150.25621,14.00634,3.0,0.0,0.0035,18.78723435110858,105.58364490267111,18.78723435110858,105.58364490267111
561507.693323528,2076937.34118881,0.0,0.0,0.0,237.5759,5.81183,4.0,0.0,0.00294,18.783174507921714,105.58363688348089,18.783174507921714,105.58363688348089
561510.277363905,2075844.60725984,1.58645,9.42378,0.0,497.29144,0.04128,5.0,0.06811,0.00428,18.773298925186598,105.58362740290565,18.773298925186598,105.58362740290565
561514.98874506,2076652.55415055,1.47708,9.56509,0.85463,204.96756,7.09141,5.0,0.0,0.00348,18.78060054982653,105.58369724238892,18.78060054982653,105.58369724238892
561525.041765626,2076359.32262651,2.56015,11.65836,1.98341,120.61089,4.81231,2.0,0.34149,0.00634,18.77795019286962,105.58378350246146,18.77795019286962,105.58378350246146
561534.143049702,2076693.65620148,1.1927,6.43199,0.35178,230.6161,6.42015,6.0,0.0,0.00354,18.780971438748576,105.58388026439927,18.780971438748576,105.58388026439927
561536.379114436,2076661.90499749,1.10654,6.02092,0.31495,226.7998,6.47086,6.0,0.0,0.00376,18.780684423260592,105.58390049249326,18.780684423260592,105.58390049249326
561540.342177897,2076211.0904875,1.07012,9.30635,1.06829,183.70905,2.76391,5.0,0.87398,0.00672,18.776610101658736,105.58392406157928,18.776610101658736,105.58392406157928
561548.663425382,2076922.18518721,1.73844,11.06548,0.0,269.69415,4.47583,3.0,0.0,0.00297,18.78303632182908,105.58402515544131,18.78303632182908,105.58402515544131
