X,Y,lat,lon,population_density,road_density,time,flood_prob,risk_class
562442.609681843,2076045.38939326,18.77508564568806,105.59247963623372,0.0,0.00283,2026-03-14 07:00:00,0.0,
562442.124146544,2076961.4479204,18.78336446082894,105.59250396517163,0.45633,0.00866,2026-03-14 07:00:00,0.18486971837105792,Low
562435.50011394,2077714.3231228,18.790168699922397,105.59246490320395,0.17467,0.01093,2026-03-14 07:00:00,0.029666070363744784,Low
562432.864234701,2077134.10210082,18.78492508604879,105.59242155727088,0.88587,0.00976,2026-03-14 07:00:00,0.3587175530949356,Medium
562413.214983292,2077441.09652649,18.787700111104787,105.59224481105008,2.15163,0.01,2026-03-14 07:00:00,0.028837209302325584,Low
562408.29566825,2077585.78189868,18.78900783956644,105.59220270341442,0.84947,0.01084,2026-03-14 07:00:00,0.0,
562407.757608288,2079054.00330578,18.80227675841181,105.59224399737028,0.0,0.00253,2026-03-14 07:00:00,0.1373166671591659,Low
562407.295579848,2077372.63366415,18.78708156244063,105.59218648104125,2.16999,0.00974,2026-03-14 07:00:00,0.7619047619047619,High
562406.698441118,2077804.17150598,18.790981562840102,105.59219444674454,0.20147,0.01152,2026-03-14 07:00:00,0.006410256410256411,Low
562401.957495187,2076539.08340505,18.77954858668676,105.5921095102859,0.24934,0.00556,2026-03-14 07:00:00,0.17084913497309206,Low
562399.352617876,2077252.21835164,18.78599355906882,105.59210731005696,1.70789,0.00938,2026-03-14 07:00:00,0.006410256410256411,Low
562395.483827383,2076711.01845965,18.781102629605257,105.59205351369182,0.9742,0.00689,2026-03-14 07:00:00,0.10296495646629604,Low
562393.377411044,2075965.59681214,18.774366006951933,105.59201000210695,0.0,0.00204,2026-03-14 07:00:00,0.029666070363744784,Low
562503.82891421,2079064.5938571,18.80236957449232,105.59315600465027,0.0,0.00216,2026-03-14 07:00:00,0.0,
562384.164070689,2077937.82006085,18.79219007665523,105.59198484125714,0.37763,0.01027,2026-03-14 07:00:00,0.7619047619047619,High
562504.955049459,2076367.02974524,18.77799056711609,105.59308133798831,0.0,0.00524,2026-03-14 07:00:00,0.14867668937436382,Low
562515.614687919,2078189.29932447,18.794458836955403,105.59324013204298,0.0,0.00619,2026-03-14 07:00:00,0.18093437673592985,Low
562629.765233726,2077804.65604318,18.79097921784495,105.59431112063324,0.0,0.0087,2026-03-14 07:00:00,0.7619047619047619,High
562619.559853316,2077452.73618803,18.787799084870677,105.59420312792032,1.43314,0.01003,2026-03-14 07:00:00,0.02191413237924866,Low
562615.099930709,2077287.40941869,18.786305094671103,105.59415556970205,0.77371,0.0105,2026-03-14 07:00:00,0.1518675123326286,Low
562614.713428331,2077402.53839077,18.787345573407915,105.59415555072115,1.4264,0.01019,2026-03-14 07:00:00,0.36417748917748916,Medium
562611.020402275,2076192.92142379,18.776413881365922,105.59408219057568,0.0,0.00461,2026-03-14 07:00:00,0.006410256410256411,Low
562608.075723243,2076957.17502347,18.783320844227426,105.59407845696455,0.24089,0.00982,2026-03-14 07:00:00,0.16538919889053846,Low
562606.282305646,2076329.79000734,18.77765096232628,105.594041569177,0.0,0.00502,2026-03-14 07:00:00,0.1921710588997049,Low
562602.478322427,2078162.90161992,18.79421764983413,105.5940635525017,0.0,0.0055,2026-03-14 07:00:00,0.215199034576417,Low
562583.651775745,2078215.49044432,18.794693484216182,105.5938865723848,0.0,0.00522,2026-03-14 07:00:00,0.11288743708645106,Low
562582.144082071,2076331.19340049,18.777664373304656,105.59381258644619,0.0,0.00511,2026-03-14 07:00:00,0.7619047619047619,High
562579.155997245,2077687.87616374,18.78992535883276,105.59382719524504,0.21597,0.00933,2026-03-14 07:00:00,0.03524746571258199,Low
562578.302761016,2076091.32430219,18.775496692567344,105.59376854735817,0.0,0.00427,2026-03-14 07:00:00,0.08963162313296269,Low
562572.955798119,2077639.86057161,18.789491609671156,105.59376684168534,0.42079,0.00924,2026-03-14 07:00:00,0.03524746571258199,Low
